timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1622996012371,84,HTTP Request,200,OK,Thread Group 1-15,text,true,,14152,162,41,41,http://www.google.com/,84,0,0
1622996012371,88,HTTP Request,200,OK,Thread Group 1-4,text,true,,14123,162,41,41,http://www.google.com/,88,0,0
1622996012364,97,HTTP Request,200,OK,Thread Group 1-17,text,true,,14186,162,41,41,http://www.google.com/,97,0,0
1622996012378,90,HTTP Request,200,OK,Thread Group 1-7,text,true,,14148,162,41,41,http://www.google.com/,90,0,0
1622996012384,87,HTTP Request,200,OK,Thread Group 1-6,text,true,,14146,162,42,42,http://www.google.com/,87,0,0
1622996012388,92,HTTP Request,200,OK,Thread Group 1-10,text,true,,14151,162,42,42,http://www.google.com/,91,0,0
1622996012396,92,HTTP Request,200,OK,Thread Group 1-28,text,true,,14150,162,42,42,http://www.google.com/,92,0,0
1622996012396,92,HTTP Request,200,OK,Thread Group 1-29,text,true,,14119,162,42,42,http://www.google.com/,92,0,0
1622996012396,92,HTTP Request,200,OK,Thread Group 1-19,text,true,,14156,162,42,42,http://www.google.com/,92,0,0
1622996012407,88,HTTP Request,200,OK,Thread Group 1-23,text,true,,14178,162,43,43,http://www.google.com/,88,0,0
1622996012405,92,HTTP Request,200,OK,Thread Group 1-1,text,true,,14156,162,43,43,http://www.google.com/,92,0,0
1622996012407,90,HTTP Request,200,OK,Thread Group 1-24,text,true,,14193,162,43,43,http://www.google.com/,90,0,0
1622996012405,92,HTTP Request,200,OK,Thread Group 1-20,text,true,,14114,162,43,43,http://www.google.com/,92,0,0
1622996012408,89,HTTP Request,200,OK,Thread Group 1-25,text,true,,14143,162,43,43,http://www.google.com/,89,0,0
1622996012405,103,HTTP Request,200,OK,Thread Group 1-3,text,true,,14229,162,43,43,http://www.google.com/,102,0,0
1622996012352,156,HTTP Request,200,OK,Thread Group 1-36,text,true,,14157,162,43,43,http://www.google.com/,156,0,29
1622996012406,102,HTTP Request,200,OK,Thread Group 1-32,text,true,,14168,162,43,43,http://www.google.com/,102,0,0
1622996012419,89,HTTP Request,200,OK,Thread Group 1-8,text,true,,14195,162,43,43,http://www.google.com/,89,0,0
1622996012416,94,HTTP Request,200,OK,Thread Group 1-9,text,true,,14133,162,43,43,http://www.google.com/,94,0,0
1622996012421,89,HTTP Request,200,OK,Thread Group 1-5,text,true,,14175,162,43,43,http://www.google.com/,89,0,0
1622996012418,92,HTTP Request,200,OK,Thread Group 1-26,text,true,,14136,162,43,43,http://www.google.com/,92,0,0
1622996012412,99,HTTP Request,200,OK,Thread Group 1-34,text,true,,14188,162,43,43,http://www.google.com/,99,0,0
1622996012430,82,HTTP Request,200,OK,Thread Group 1-11,text,true,,14175,162,44,44,http://www.google.com/,82,0,0
1622996012437,79,HTTP Request,200,OK,Thread Group 1-18,text,true,,14179,162,44,44,http://www.google.com/,79,0,0
1622996012441,80,HTTP Request,200,OK,Thread Group 1-22,text,true,,14185,162,44,44,http://www.google.com/,80,0,0
1622996012371,150,HTTP Request,200,OK,Thread Group 1-37,text,true,,14165,162,44,44,http://www.google.com/,118,0,33
1622996012435,87,HTTP Request,200,OK,Thread Group 1-33,text,true,,14182,162,44,44,http://www.google.com/,87,0,0
1622996012435,87,HTTP Request,200,OK,Thread Group 1-30,text,true,,14223,162,44,44,http://www.google.com/,87,0,0
1622996012441,81,HTTP Request,200,OK,Thread Group 1-2,text,true,,14212,162,44,44,http://www.google.com/,81,0,0
1622996012441,81,HTTP Request,200,OK,Thread Group 1-35,text,true,,14178,162,44,44,http://www.google.com/,81,0,0
1622996012415,111,HTTP Request,200,OK,Thread Group 1-14,text,true,,14133,162,44,44,http://www.google.com/,110,0,0
